min_width,max_width,min_height,max_height,orientation,road_type,proper_kernel
0,10,0,0,EW,73,y
0,10,0,0,NS,73,y
0,10,0,0,SENW,73,y
0,10,0,0,SWNE,73,y
0,10,0,10,EW,74,y
0,10,0,10,NS,74,y
0,10,0,10,SENW,74,y
0,10,0,10,SWNE,74,y
0,10,10,15,EW,1,Y
0,10,10,15,NS,2,Y
0,10,10,15,SENW,3,Y
0,10,10,15,SWNE,4,Y
0,10,15,20,EW,1,N
0,10,15,20,NS,2,N
0,10,15,20,SENW,3,N
0,10,15,20,SWNE,4,N
0,10,20,25,EW,1,N
0,10,20,25,NS,2,N
0,10,20,25,SENW,3,N
0,10,20,25,SWNE,4,N
0,10,25,30,EW,1,N
0,10,25,30,NS,2,N
0,10,25,30,SENW,3,N
0,10,25,30,SWNE,4,N
0,10,30,35,EW,1,N
0,10,30,35,NS,2,N
0,10,30,35,SENW,3,N
0,10,30,35,SWNE,4,N
0,10,35,45,EW,1,N
0,10,35,45,NS,2,N
0,10,35,45,SENW,3,N
0,10,35,45,SWNE,4,N
0,10,45,500,EW,1,N
0,10,45,500,NS,2,N
0,10,45,500,SENW,3,N
0,10,45,500,SWNE,4,N
10,15,0,0,EW,73,y
10,15,0,0,NS,73,y
10,15,0,0,SENW,73,y
10,15,0,0,SWNE,73,y
10,15,0,10,EW,74,y
10,15,0,10,NS,74,y
10,15,0,10,SENW,74,y
10,15,0,10,SWNE,74,y
10,15,10,15,EW,9,Y
10,15,10,15,NS,10,Y
10,15,10,15,SENW,11,Y
10,15,10,15,SWNE,12,Y
10,15,15,20,EW,13,Y
10,15,15,20,NS,14,Y
10,15,15,20,SENW,15,Y
10,15,15,20,SWNE,16,Y
10,15,20,25,EW,17,Y
10,15,20,25,NS,18,Y
10,15,20,25,SENW,19,Y
10,15,20,25,SWNE,20,Y
10,15,25,30,EW,21,Y
10,15,25,30,NS,22,Y
10,15,25,30,SENW,23,Y
10,15,25,30,SWNE,24,Y
10,15,30,35,EW,25,Y
10,15,30,35,NS,26,Y
10,15,30,35,SENW,27,Y
10,15,30,35,SWNE,28,Y
10,15,35,45,EW,5,Y
10,15,35,45,NS,6,Y
10,15,35,45,SENW,7,Y
10,15,35,45,SWNE,8,Y
10,15,45,500,EW,5,N
10,15,45,500,NS,6,N
10,15,45,500,SENW,7,N
10,15,45,500,SWNE,8,N
15,20,0,0,EW,73,y
15,20,0,0,NS,73,y
15,20,0,0,SENW,73,y
15,20,0,0,SWNE,73,y
15,20,0,10,EW,74,y
15,20,0,10,NS,74,y
15,20,0,10,SENW,74,y
15,20,0,10,SWNE,74,y
15,20,10,15,EW,29,Y
15,20,10,15,NS,30,Y
15,20,10,15,SENW,31,Y
15,20,10,15,SWNE,32,Y
15,20,15,20,EW,33,Y
15,20,15,20,NS,34,Y
15,20,15,20,SENW,35,Y
15,20,15,20,SWNE,36,Y
15,20,20,25,EW,37,Y
15,20,20,25,NS,38,Y
15,20,20,25,SENW,39,Y
