osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
73,None,2,primary,None,12.30,6.60,6,27340,DotRef,6.30
74,None,2,primary,None,12.30,7.20,6,27340,DotRef,6.30
75,None,2,primary,None,12.30,7.20,6,7470,DotRef,6.30
79,None,2,primary,None,12.30,6.30,6,47251,DotRef,6.30
482,None,2,primary,None,12.30,6.60,6,99166,DotRef,None
546,None,2,primary,None,12.30,0.00,5,546,primary,None
1210,None,2,primary,None,12.30,7.50,6,27490,DotRef,None
1212,None,1,primary,None,9.15,7.70,6,17425,DotRef,None
1213,None,2,primary,None,12.30,7.90,6,17425,DotRef,None
1214,None,2,primary,None,12.30,6.60,6,37538,DotRef,None
1215,None,1,primary,None,9.15,None,6,27539,DotRef,3.15
1698,None,2,primary,None,12.30,7.00,6,26656,DotRef,6.30
1699,None,2,primary,None,12.30,6.00,6,46665,DotRef,6.30
1700,None,2,primary,None,12.30,7.20,6,26656,DotRef,6.30
1701,None,2,primary,None,12.30,7.90,6,26656,DotRef,6.30
1702,None,2,primary,None,12.30,7.50,6,26656,DotRef,6.30
2126,None,2,primary,None,12.30,6.30,6,27765,DotRef,6.30
2127,None,2,primary,None,12.30,6.50,6,27765,DotRef,6.30
2128,None,2,primary,None,12.30,7.00,6,27765,DotRef,6.30
2194,None,2,primary,None,12.30,0.00,5,2194,primary,6.30
2197,None,2,primary,None,12.30,0.00,5,2197,primary,6.30
2198,None,2,primary,None,12.30,0.00,5,2198,primary,6.30
2201,None,2,primary,None,12.30,0.00,5,2201,primary,6.30
2203,None,2,primary,None,12.30,0.00,5,2203,primary,6.30
2207,None,2,primary,None,12.30,0.00,5,2207,primary,6.30
2208,None,2,primary,None,12.30,8.90,6,37538,DotRef,6.30
2209,None,2,primary,None,12.30,6.40,6,37538,DotRef,6.30
2210,None,2,primary,None,12.30,8.00,6,47501,DotRef,6.30
2211,None,2,primary,None,12.30,7.90,6,27491,DotRef,6.30
2212,None,2,primary,None,12.30,6.40,6,27491,DotRef,6.30
2763,None,2,primary,None,12.30,5.20,6,37121,DotRef,6.30
2764,None,2,primary,None,12.30,7.00,6,37121,DotRef,6.30
2766,None,2,primary,None,12.30,None,6,17026,DotRef,6.30
25486,None,2,primary,None,12.30,7.50,6,27243,DotRef,6.30
25487,no,2,primary,None,12.30,8.60,6,48153,DotRef,6.30
26783,None,2,primary,None,12.30,5.80,6,57891,DotRef,6.30
31039,None,2,primary,None,12.30,18.80,1a,8469,DotRef,6.30
156710,None,2,primary,None,12.30,11.40,2a,74498,DotRef,6.30
329019,None,1,primary,None,9.15,9.80,6,36666,DotRef,3.15
329553,None,2,primary,None,12.30,11.60,4a,36666,DotRef,6.30
330437,None,2,primary,None,12.30,14.40,1a,37102,DotRef,6.30
331529,None,1,primary,None,9.15,0.00,5,27579,DotRef,3.15
331680,None,2,primary,None,12.30,8.50,6,48540,DotRef,6.30
352640,None,2,primary,None,12.30,6.70,6,27765,DotRef,6.30
352641,None,2,primary,None,12.30,6.30,6,27765,DotRef,6.30
640773,None,2,primary,None,12.30,7.70,6,37647,DotRef,6.30
